flow_title,flow_notes,flow_account_name,flow_amount,flow_date_of_transaction,flow_time_of_transaction_optional,flow_date_of_transaction_iso_8601,flow_category_optional
Saldo inicial,,Principal,2100000.00,2026-03-14,09:00:00,,
Saldo inicial,,Efectivo,68500.00,2026-03-14,09:00:00,,
Saldo inicial,,Ahorros,1800000.00,2026-03-14,09:00:00,,
Saldo inicial,,Dólares,2400.00,2026-03-14,09:00:00,,
Starbucks,,Principal,-8100.00,2026-03-15,11:02:29,,Bebidas
Freelance USD,Cliente en el exterior,Dólares,437.25,2026-03-15,17:40:00,,Nómina
Cuervo café,,Principal,-5800.00,2026-03-16,10:22:04,,Bebidas
Reintegro OSDE,,Principal,56993.00,2026-03-16,11:05:00,,Nómina
Axion,,Principal,-43545.00,2026-03-16,14:50:30,,Gasolina
Kiosco,,Principal,-11392.00,2026-03-16,16:43:39,,Aperitivos
Personal móvil,,Principal,-28400.00,2026-03-18,09:45:00,,Suministros
BA Taxi,,Principal,-16774.00,2026-03-18,13:39:45,,Transporte
YPF,,Principal,-47618.00,2026-03-19,14:31:20,,Gasolina
Uber,,Principal,-17739.00,2026-03-19,16:26:38,,Transporte
Cuervo café,,Efectivo,-5800.00,2026-03-20,11:27:45,,Bebidas
Edenor luz,,Principal,-55185.00,2026-03-20,14:10:00,,Suministros
Extracción efectivo,,Principal,-40000.00,2026-03-20,14:38:33,,
Extracción efectivo,,Efectivo,40000.00,2026-03-20,14:38:33,,
Coto,,Principal,-120909.00,2026-03-20,17:26:53,,Compra
Recital Niceto,,Principal,-28000.00,2026-03-20,21:34:50,,Entretenimiento
Starbucks,,Principal,-8100.00,2026-03-21,09:20:13,,Bebidas
Panadería,,Efectivo,-5667.00,2026-03-21,19:17:23,,Aperitivos
Cuervo café,,Efectivo,-5800.00,2026-03-22,11:54:08,,Bebidas
AySA agua,,Principal,-18500.00,2026-03-22,13:00:00,,Suministros
BA Taxi,,Principal,-9472.00,2026-03-23,07:14:58,,Transporte
Café Martínez,,Efectivo,-6200.00,2026-03-24,08:15:00,,Bebidas
Kiosco,,Principal,-4157.00,2026-03-24,16:24:51,,Aperitivos
Colectivo,,Principal,-2043.00,2026-03-24,21:51:36,,Transporte
Cuervo café,,Efectivo,-5800.00,2026-03-25,08:23:19,,Bebidas
Sueldo,,Principal,3214145.45,2026-03-25,09:15:00,,Nómina
Extracción cajero,,Principal,-80000.00,2026-03-25,12:30:00,,
Extracción cajero,,Efectivo,80000.00,2026-03-25,12:30:00,,
Ahorro mensual,,Principal,-350000.00,2026-03-25,12:35:00,,
Ahorro mensual,,Ahorros,350000.00,2026-03-25,12:35:00,,
Proyecto puntual,,Principal,224391.00,2026-03-25,16:12:53,,Nómina
Cabify,,Principal,-9923.00,2026-03-25,16:18:52,,Transporte
Cabify,,Efectivo,-17203.00,2026-03-26,16:36:30,,Transporte
Extracción efectivo,,Principal,-40000.00,2026-03-27,12:39:23,,
Extracción efectivo,,Efectivo,40000.00,2026-03-27,12:39:23,,
Dr. Ahorro,,Principal,-9728.00,2026-03-27,16:45:05,,Salud
Panadería,,Efectivo,-10260.00,2026-03-27,17:23:19,,Aperitivos
Carrefour,,Principal,-57545.00,2026-03-28,16:27:14,,Compra
Disco,,Principal,-90911.00,2026-03-29,13:44:32,,Compra
Museo MALBA,,Principal,-6000.00,2026-03-29,19:33:02,,Entretenimiento
El Club de la Milanesa,,Efectivo,-28984.00,2026-03-29,20:17:21,,Comer fuera
Café Martínez,,Efectivo,-6200.00,2026-03-30,10:18:27,,Bebidas
Reintegro PedidosYa,,Principal,61999.00,2026-03-30,12:54:08,,Nómina
Jumbo,,Principal,-50195.00,2026-03-30,14:52:50,,Compra
Cuervo café,,Efectivo,-5800.00,2026-03-31,10:55:07,,Bebidas
SUBE subte,,Efectivo,-1916.00,2026-03-31,20:46:33,,Transporte
Interés caja de ahorro,,Ahorros,6880.00,2026-03-31,23:50:00,,Nómina
Alquiler departamento,"Palermo, CABA",Principal,-850000.00,2026-04-01,08:15:00,,Alquiler
Smart Fit,,Principal,-55000.00,2026-04-01,08:20:00,,Fitness
Havanna café,,Principal,-7400.00,2026-04-01,11:18:47,,Bebidas
SUBE subte,,Principal,-2372.00,2026-04-01,16:50:23,,Transporte
iCloud+,,Principal,-2499.00,2026-04-02,00:05:12,,Suscripciones online
Café Martínez,,Efectivo,-6200.00,2026-04-02,08:20:12,,Bebidas
Uber,,Principal,-9793.00,2026-04-02,18:02:49,,Transporte
Colectivo,,Principal,-2121.00,2026-04-03,07:55:06,,Transporte
Ninina,,Principal,-9200.00,2026-04-03,11:14:07,,Bebidas
Extracción efectivo,,Principal,-40000.00,2026-04-03,12:31:53,,
Extracción efectivo,,Efectivo,40000.00,2026-04-03,12:31:53,,
Starbucks,,Efectivo,-8100.00,2026-04-04,09:33:35,,Bebidas
SUBE subte,,Principal,-2117.00,2026-04-04,18:16:07,,Transporte
Netflix,,Principal,-12999.00,2026-04-05,00:08:40,,Suscripciones online
Mostaza,,Efectivo,-39120.00,2026-04-05,22:49:07,,Comer fuera
Ninina,,Efectivo,-9200.00,2026-04-06,09:25:29,,Bebidas
Fibertel internet,,Principal,-45000.00,2026-04-06,10:00:00,,Suministros
Venta Mercado Libre,,Principal,40496.00,2026-04-06,16:05:03,,Nómina
Heladería Chungo,,Efectivo,-4629.00,2026-04-06,17:53:05,,Aperitivos
PedidosYa,,Principal,-46599.00,2026-04-07,19:08:59,,Comer fuera
Cabify,,Efectivo,-12800.00,2026-04-07,20:18:12,,Transporte
Colectivo,,Efectivo,-1658.00,2026-04-08,08:25:34,,Transporte
Siga la Vaca,,Efectivo,-45987.00,2026-04-08,14:38:40,,Comer fuera
Consultoría,,Principal,406902.00,2026-04-08,16:20:00,,Nómina
Spotify,,Principal,-7999.00,2026-04-09,00:03:21,,Suscripciones online
Colectivo,,Principal,-2152.00,2026-04-09,11:38:01,,Transporte
Ninina,,Principal,-9200.00,2026-04-10,11:22:12,,Bebidas
Donación mensual,Cruz Roja Argentina,Principal,-8000.00,2026-04-10,11:30:00,,Donaciones
Extracción efectivo,,Principal,-40000.00,2026-04-10,14:59:51,,
Extracción efectivo,,Efectivo,40000.00,2026-04-10,14:59:51,,
Farmacity higiene,,Principal,-9770.00,2026-04-11,12:06:40,,Higiene
Coto,,Principal,-76249.00,2026-04-11,12:14:07,,Compra
ChatGPT Plus,,Principal,-24900.00,2026-04-12,00:12:00,,Suscripciones online
BA Taxi,,Principal,-15971.00,2026-04-12,11:23:24,,Transporte
Coto,,Principal,-52385.00,2026-04-12,13:07:00,,Compra
Mostaza,,Efectivo,-49139.00,2026-04-12,17:39:12,,Comer fuera
